伝票日付,車種,型式,車台No,年式,得意先コード,品名,品番,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,中分類名,数量,商品属性,在庫取寄区分
2011/1/5,ﾗｲﾌ,E-JA4-500,5081484,,63,ﾀｲﾛｯﾄﾞｴﾝﾄﾞﾌﾞ-ﾂ,DC-1518,173,173,70,ゴム類,2,その他,在庫
2011/1/5,ﾗｲﾌ,E-JA4-500,5081484,,63,F/ﾗｯｸｴﾝﾄﾞﾌﾞ-ﾂ,RP-2026,5312,5312,70,ゴム類,2,その他,取寄
2011/1/5,ﾏｰﾁ,K11,650927,平成 9年 9月,63,ｻ-ﾓｽﾀｯﾄ,W54NA-82,45,45,130,冷却系,1,その他,取寄
2011/1/5,ｱﾙﾄ,,,,63,ｵｲﾙｴﾚﾒﾝﾄ,C-930M,12,12,30,エレメント,1,その他,在庫
2011/1/5,ｽｽﾞｷ,,,,63,ｵｲﾙｴﾚﾒﾝﾄ,C-930M,12,12,30,エレメント,1,その他,在庫
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｺｱｻﾎﾟ-ﾄ,53205-47020,1220,1220,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｺｱｻﾎﾟ-ﾄ,53213-47020,1220,1220,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾌｪﾝﾀﾞﾗｲﾅ RH,53875-47020,1402,1402,3340,フロントサイド系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾌｪﾝﾀﾞﾗｲﾅ LH,53876-47020,1502,1502,3350,フロントサイド系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,LICENCE PLATE FRAME,08407-00160,99000,99000,,,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾍｯﾄﾞﾗﾝﾌﾟﾕﾆｯﾄ RH,81130-47060,1310,1310,270,ランプ・レンズ,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾍｯﾄﾞﾗﾝﾌﾟﾕﾆｯﾄ LH,81170-47060,1311,1311,270,ランプ・レンズ,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｻｲﾄﾞﾊﾞｯﾌﾙｶﾊﾞLH,53286-47010,1223,1223,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾌ-ﾄﾞﾋﾝｼﾞ RH,53410-47040,1208,1208,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｸﾞﾘﾙ ｾﾝﾀｰ,53111-47010,1301,1301,3330,グリル・ライト系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｸﾞﾘﾙ LH,53113-47020,1301,1301,3330,グリル・ライト系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾗｼﾞｴ-ﾀｸﾞﾘﾙ RH,53112-47020,1301,1301,3330,グリル・ライト系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾌ-ﾄﾞ ｶｳﾙ ｺﾞﾑ,53383-47050,99000,99000,,,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ﾌｰﾄﾞｲﾝｼｭﾚｰﾀｰｸﾘｯﾌﾟ,90467-09006,99999,99999,,,6,純正,取寄
2011/1/6,ｴﾙﾌ,KC-NHR69E-4CXA,7417762,平成 7年 8月,63,ｵｲﾙｴﾚﾒﾝﾄ,C-491,12,12,30,エレメント,1,その他,在庫
2011/1/6,ﾀｰｾﾙ,,,,63,ｵｲﾙｴﾚﾒﾝﾄ,C-170M,12,12,30,エレメント,1,その他,在庫
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ｺ-ｼｮﾝﾌﾟﾚ-ﾄ,88733-47020,1265,6005,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ｺ-ｼｮﾝﾌﾟﾚ-ﾄ,11293-21070,1265,6005,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ｺ-ｼｮﾝﾌﾟﾚ-ﾄ,11296-21011,1265,6005,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,ｺ-ｼｮﾝﾌﾟﾚ-ﾄ,G9275-47020,1265,6005,3320,フロントパネル系,1,純正,取寄
2011/1/6,ﾌﾟﾘｳｽ,DAA-NHW20-AHEGB,7019503,平成17年 3月,63,"LABEL, COOLANT",11285-21010,99000,99000,,,1,純正,取寄
